区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,胡家园小区 ,2室1厅,69.29,616,88902,房本满五年,南,简装,无,高楼层(共17层)1991年建塔楼,,-
,,,,,,,,,,,,
东城,新景家园东区 ,3室2厅,90.77,930,102457,房本满五年,东西,简装,有电梯,中楼层(共17层)2005年建板塔结合,,-
,,,,,,,,,,,,
东城,阳照胡同 ,2室1厅,60.06,610,101566,房本满五年,南北,简装,无电梯,中楼层(共6层)1990年建板楼,,-
,,,,,,,,,,,,
东城,甘雨胡同2号院 ,3室1厅,88.68,1060,119531,房本满五年,南北,简装,无,高楼层(共6层)1999年建板楼,,-
,,,,,,,,,,,,
东城,长青园 ,2室1厅,57.75,470,81386,,南北,精装,无,中楼层(共6层)1990年建板楼,,-
,,,,,,,,,,,,
东城,西革新里112号院 ,2室1厅,71.47,460,64363,房本满五年,东南,简装,有电梯,高楼层(共19层)2001年建塔楼,,-
,,,,,,,,,,,,
东城,北京上舍 ,1室0厅,64.68,570,88127,房本满五年,北,精装,无,中楼层(共15层)2008年建塔楼,,-
,,,,,,,,,,,,
东城,东直门内北小街16号 ,2室2厅,90.38,830,91835,房本满五年,东西,简装,有电梯,底层(共10层)2003年建板塔结合,,-
,,,,,,,,,,,,
东城,金世纪嘉园 ,2室1厅,75.55,678,89742,房本满五年,东南,简装,有电梯,低楼层(共21层)2005年建塔楼,,-
,,,,,,,,,,,,
东城,仓南胡同14号院 ,2室1厅,70.6,839,118839,房本满五年,南北,其他,无电梯,中楼层(共6层)1994年建板楼,,-
,,,,,,,,,,,,
东城,法华南里 ,2室1厅,79.99,759,94887,房本满五年,南北,简装,无电梯,中楼层(共6层)1990年建板楼,,-
,,,,,,,,,,,,
东城,和平里二区 ,2室1厅,80.57,828,102768,房本满五年,西南,精装,有电梯,中楼层(共20层)2006年建塔楼,,-
,,,,,,,,,,,,
东城,豆瓣胡同 ,3室1厅,86.2,1150,133411,房本满五年,南北,简装,无,低楼层(共12层)2003年建板楼,,-
,,,,,,,,,,,,
东城,富莱茵花园 ,2室1厅,119.1,710,59614,房本满五年,东北,简装,有电梯,低楼层(共21层)2002年建塔楼,,-
,,,,,,,,,,,,
东城,六铺炕 ,2室1厅,51.95,580,111646,房本满五年,西南,简装,无,底层(共16层)1992年建塔楼,,-
,,,,,,,,,,,,
东城,新景家园西区 ,2室1厅,117.79,1000,84897,房本满五年,东西,简装,有电梯,中楼层(共11层)2001年建板塔结合,,-
,,,,,,,,,,,,
东城,宝润苑 ,4室2厅,266.93,1750,65561,房本满五年,东西,精装,无,低楼层(共14层)1999年建板塔结合,,-
,,,,,,,,,,,,
东城,新奥洋房 ,5室2厅,175.81,1230,69962,房本满五年,东西,简装,有电梯,顶层(共11层)2005年建板塔结合,,-
,,,,,,,,,,,,
东城,金鱼池西区 ,4室2厅,135.05,1000,74047,房本满五年,南北,精装,无电梯,顶层(共6层)2003年建板塔结合,,-
,,,,,,,,,,,,
东城,民安小区东扬威街 ,3室1厅,71.38,800,112077,房本满五年,南,精装,无,中楼层(共12层)2002年建板楼,,-
,,,,,,,,,,,,
东城,新裕家园 ,2室1厅,102.54,1130,110201,房本满五年,南北,简装,有电梯,中楼层(共17层)2004年建板塔结合,,-
,,,,,,,,,,,,
东城,新景家园东区 ,1室1厅,65.5,698,106565,房本满五年,东西,精装,有电梯,中楼层(共15层)2008年建板塔结合,,-
,,,,,,,,,,,,
东城,西革新里110号院 ,1室1厅,44.44,310,69757,房本满五年,东,简装,无电梯,中楼层(共6层)1992年建板楼,,-
,,,,,,,,,,,,
东城,天天家园 ,2室1厅,100.82,695,68935,房本满五年,西,精装,无,中楼层(共11层)2002年建板塔结合,,-
,,,,,,,,,,,,
东城,法华南里 ,2室1厅,67.84,600,88444,房本满五年,南北,简装,无电梯,中楼层(共6层)1996年建板楼,,-
,,,,,,,,,,,,
东城,景泰西里西区 ,3室2厅,111.62,770,68985,房本满五年,东,精装,无,顶层(共11层)2005年建板塔结合,,-
,,,,,,,,,,,,
东城,永铁苑 ,3室1厅,108.16,698,64535,房本满五年,西北,其他,有电梯,高楼层(共22层)2000年建塔楼,,-
,,,,,,,,,,,,
东城,仓南胡同14号院 ,3室1厅,83.12,960,115496,房本满五年,南北,简装,无电梯,顶层(共6层)1993年建板楼,,-
,,,,,,,,,,,,
东城,海运仓小区 ,2室1厅,77.92,900,115504,房本满五年,东南,精装,无,底层(共7层)2002年建板楼,,-
,,,,,,,,,,,,
东城,绿景苑 ,3室1厅,89.53,840,93824,房本满五年,南西北,其他,无,高楼层(共18层)2002年建塔楼,,-
,,,,,,,,,,,,
东城,新景家园西区 ,3室1厅,95.49,1050,109960,房本满五年,南,精装,有电梯,中楼层(共12层)2004年建板塔结合,,-
,,,,,,,,,,,,
东城,和平里七区 ,1室1厅,52.77,470,89066,房本满五年,东西,精装,无,底层(共6层)1995年建板楼,,-
,,,,,,,,,,,,
东城,管村26号院 ,4室1厅,101.12,707.8,69997,,南北,其他,无电梯,中楼层(共6层)1997年建板楼,,-
,,,,,,,,,,,,
东城,中海紫御公馆 ,2室2厅,91.9,1080,117520,,南,精装,无,中楼层(共22层)2010年建板塔结合,,-
,,,,,,,,,,,,
东城,南岗子 ,2室1厅,53.19,478,89867,,南北,简装,无电梯,底层(共6层)1988年建板楼,,-
,,,,,,,,,,,,
东城,贡院六号 ,1室1厅,123.71,1380,111552,房本满五年,东南,精装,有电梯,高楼层(共23层)2002年建塔楼,,-
,,,,,,,,,,,,
东城,建国门北大街5号 ,5室2厅,228.71,1290,56404,房本满五年,西,简装,无,低楼层(共24层)2008年建塔楼,,-
,,,,,,,,,,,,
东城,安定路 ,3室1厅,80.25,785,97820,房本满五年,东西北,简装,无,高楼层(共20层)1995年建塔楼,,-
,,,,,,,,,,,,
东城,西营房 ,2室1厅,85.12,800,93985,房本满五年,东,其他,无,低楼层(共19层)2006年建塔楼,,-
,,,,,,,,,,,,
东城,幸福家园二期 ,4室2厅,187.09,1950,104228,房本满五年,南西北,精装,有电梯,中楼层(共18层)2003年建板楼,,-
,,,,,,,,,,,,
东城,华府景园 ,3室1厅,173.4,1700,98040,房本满五年,东南西,精装,有电梯,中楼层(共16层)2001年建塔楼,,-
,,,,,,,,,,,,
东城,豆瓣胡同 ,2室1厅,71.44,900,125980,房本满五年,南,简装,有电梯,低楼层(共21层)2003年建板楼,,-
,,,,,,,,,,,,
东城,水上华城 ,2室2厅,115,1149,99914,房本满五年,东西,精装,有电梯,中楼层(共22层)2006年建板塔结合,,-
,,,,,,,,,,,,
东城,法华南里 ,3室2厅,107.03,950,88761,房本满五年,东南北,其他,无电梯,高楼层(共6层)1993年建板楼,,-
,,,,,,,,,,,,
东城,民安小区东直门北中街 ,3室1厅,67.17,685,101981,房本满五年,东南西,简装,无,顶层(共6层)1988年建板楼,,-
,,,,,,,,,,,,
东城,新景家园东区 ,2室1厅,81.44,770,94549,房本满五年,南北,精装,有电梯,底层(共18层)2005年建板塔结合,,-
,,,,,,,,,,,,
东城,左安漪园 ,3室1厅,123.92,1090,87960,房本满五年,东北,精装,有电梯,中楼层(共15层)2004年建板塔结合,,-
,,,,,,,,,,,,
东城,东直门内北小街8号院 ,3室1厅,92.8,974,104957,房本满五年,西北,简装,无,中楼层(共16层)2003年建塔楼,,-
,,,,,,,,,,,,
东城,民安小区东羊管胡同 ,2室1厅,76.93,800,103991,房本满五年,南北,简装,有电梯,中楼层(共14层)2002年建板塔结合,,-
,,,,,,,,,,,,
东城,法华南里 ,3室1厅,117.63,950,80762,房本满五年,南北,精装,无电梯,顶层(共6层)1991年建板楼,,-
,,,,,,,,,,,,
东城,美惠大厦 ,3室2厅,185.18,1160,62642,房本满五年,西,精装,有电梯,高楼层(共15层)1998年建板塔结合,,-
,,,,,,,,,,,,
东城,新景家园东区 ,2室1厅,79.98,780,97525,房本满五年,南北,其他,无,中楼层(共12层)2004年建板楼,,-
,,,,,,,,,,,,
东城,青年湖南街 ,3室1厅,78.97,925,117134,房本满五年,南西,精装,有电梯,低楼层(共14层)1996年建板塔结合,,-
,,,,,,,,,,,,
东城,中海紫御公馆 ,2室2厅,88.92,1200,134953,房本满五年,南北,精装,有电梯,顶层(共22层)2010年建板塔结合,,-
,,,,,,,,,,,,
东城,绿景苑 ,4室2厅,163.63,1550,94726,房本满五年,东南北,简装,有电梯,中楼层(共14层)1999年建板楼,,-
,,,,,,,,,,,,
东城,东花市北里中区 ,2室2厅,95.11,878,92315,房本满五年,南北,其他,无,中楼层(共5层)1994年建板楼,,-
,,,,,,,,,,,,
东城,幸福家园一期 ,3室2厅,139.69,1520,108813,房本满五年,南北,精装,有电梯,低楼层(共12层)2002年建板塔结合,,-
,,,,,,,,,,,,
东城,小羊宜宾胡同 ,3室1厅,81.31,800,98389,房本满五年,东西,简装,无电梯,低楼层(共6层)1990年建板楼,,-
,,,,,,,,,,,,
东城,板厂新里 ,2室1厅,61.66,585,94876,房本满五年,东北,精装,无,高楼层(共18层)1990年建塔楼,,-
,,,,,,,,,,,,
东城,民安小区东直门内北小街 ,4室2厅,127.92,1220,95373,房本满五年,东西,精装,有电梯,高楼层(共14层)2003年建板楼,,-
,,,,,,,,,,,,
东城,天坛西里东区 ,2室1厅,60.03,480,79961,房本满五年,东西,简装,无,中楼层(共4层)1991年建板楼,,-
,,,,,,,,,,,,
东城,金鱼池东区 ,2室1厅,72.98,656,89888,房本满五年,南北,简装,无电梯,低楼层(共6层)2003年建板塔结合,,-
,,,,,,,,,,,,
东城,左安浦园 ,1室1厅,67.61,520,76912,房本满五年,东,简装,有电梯,低楼层(共14层)2004年建板塔结合,,-
,,,,,,,,,,,,
东城,绿景苑 ,1室1厅,64,605,94532,,东,精装,有电梯,高楼层(共18层)2002年建塔楼,,-
,,,,,,,,,,,,
东城,土儿胡同 ,2室1厅,69.88,880,125931,,南北,简装,无电梯,底层(共6层)2002年建板楼,,-
,,,,,,,,,,,,
东城,土儿胡同 ,2室1厅,69.88,880,125931,房本满五年,南北,简装,无电梯,底层(共6层)2002年建板楼,,-
,,,,,,,,,,,,
